sampleID,Carbon,Concentration,Rep,Treatment,Day
a400aL0,Acetate,400 uM-C,A,LOM,0
a400bL0,Acetate,400 uM-C,B,LOM,0
a400cL0,Acetate,400 uM-C,C,LOM,0
a400dL0,Acetate,400 uM-C,D,LOM,0
a400eL0,Acetate,400 uM-C,E,LOM,0
a40aL0,Acetate,40 uM-C,A,LOM,0
a40bL0,Acetate,40 uM-C,B,LOM,0
a40cL0,Acetate,40 uM-C,C,LOM,0
a40dL0,Acetate,40 uM-C,D,LOM,0
a40eL0,Acetate,40 uM-C,E,LOM,0
a4aL0,Acetate,4 uM-C,A,LOM,0
a4bL0,Acetate,4 uM-C,B,LOM,0
a4cL0,Acetate,4 uM-C,C,LOM,0
a4dL0,Acetate,4 uM-C,D,LOM,0
a4eL0,Acetate,4 uM-C,E,LOM,0
a1aL0,Acetate,1 uM-C,A,LOM,0
a1bL0,Acetate,1 uM-C,B,LOM,0
a1cL0,Acetate,1 uM-C,C,LOM,0
a1dL0,Acetate,1 uM-C,D,LOM,0
a1eL0,Acetate,1 uM-C,E,LOM,0
a400aP0,Acetate,400 uM-C,A,PRI,0
a400bP0,Acetate,400 uM-C,B,PRI,0
a400cP0,Acetate,400 uM-C,C,PRI,0
a400dP0,Acetate,400 uM-C,D,PRI,0
a400eP0,Acetate,400 uM-C,E,PRI,0
a40aP0,Acetate,40 uM-C,A,PRI,0
a40bP0,Acetate,40 uM-C,B,PRI,0
a40cP0,Acetate,40 uM-C,C,PRI,0
a40dP0,Acetate,40 uM-C,D,PRI,0
a40eP0,Acetate,40 uM-C,E,PRI,0
a4aP0,Acetate,4 uM-C,A,PRI,0
a4bP0,Acetate,4 uM-C,B,PRI,0
a4cP0,Acetate,4 uM-C,C,PRI,0
a4dP0,Acetate,4 uM-C,D,PRI,0
a4eP0,Acetate,4 uM-C,E,PRI,0
a1aP0,Acetate,1 uM-C,A,PRI,0
a1bP0,Acetate,1 uM-C,B,PRI,0
a1cP0,Acetate,1 uM-C,C,PRI,0
a1dP0,Acetate,1 uM-C,D,PRI,0
a1eP0,Acetate,1 uM-C,E,PRI,0
a400aL1,Acetate,400 uM-C,A,LOM,1
a400bL1,Acetate,400 uM-C,B,LOM,1
a400cL1,Acetate,400 uM-C,C,LOM,1
a400dL1,Acetate,400 uM-C,D,LOM,1
a400eL1,Acetate,400 uM-C,E,LOM,1
a40aL1,Acetate,40 uM-C,A,LOM,1
a40bL1,Acetate,40 uM-C,B,LOM,1
a40cL1,Acetate,40 uM-C,C,LOM,1
a40dL1,Acetate,40 uM-C,D,LOM,1
a40eL1,Acetate,40 uM-C,E,LOM,1
a4aL1,Acetate,4 uM-C,A,LOM,1
a4bL1,Acetate,4 uM-C,B,LOM,1
a4cL1,Acetate,4 uM-C,C,LOM,1
a4dL1,Acetate,4 uM-C,D,LOM,1
a4eL1,Acetate,4 uM-C,E,LOM,1
a1aL1,Acetate,1 uM-C,A,LOM,1
a1bL1,Acetate,1 uM-C,B,LOM,1
a1cL1,Acetate,1 uM-C,C,LOM,1
a1dL1,Acetate,1 uM-C,D,LOM,1
