Treatment,Carbon,Concentration,Rep,Strain,CO2Accum
composite,Casamino,40 uM-C,A,Community,1374.519
composite,Casamino,40 uM-C,B,Community,1400.777
composite,Casamino,40 uM-C,C,Community,1410.676
PRI,Casamino,40 uM-C,A,Community,683.294
PRI,Casamino,40 uM-C,B,Community,764.739
PRI,Casamino,40 uM-C,C,Community,721.363
composite,Casamino,4 uM-C,A,Community,1026.293
composite,Casamino,4 uM-C,B,Community,1011.727
composite,Casamino,4 uM-C,C,Community,964.463
PRI,Casamino,4 uM-C,A,Community,1058.071
PRI,Casamino,4 uM-C,B,Community,1082.826
PRI,Casamino,4 uM-C,C,Community,1115.195
composite,Casamino,1 uM-C,A,Community,573.135
composite,Casamino,1 uM-C,B,Community,599.02
composite,Casamino,1 uM-C,C,Community,602.853
PRI,Casamino,1 uM-C,A,Community,514.49
PRI,Casamino,1 uM-C,B,Community,544.161
PRI,Casamino,1 uM-C,C,Community,569.071
composite,Acetate,400 uM-C,A,Community,789.049
composite,Acetate,400 uM-C,B,Community,837.903
composite,Acetate,400 uM-C,C,Community,887.451
PRI,Acetate,400 uM-C,A,Community,596.427
PRI,Acetate,400 uM-C,B,Community,617.754
PRI,Acetate,400 uM-C,C,Community,623.32
composite,Casamino,400 uM-C,A,Community,394.404
composite,Casamino,400 uM-C,B,Community,420.869
composite,Casamino,400 uM-C,C,Community,472.656
PRI,Casamino,400 uM-C,A,Community,240.153
PRI,Casamino,400 uM-C,B,Community,274.588
composite,Coumarate,400 uM-C,A,Community,1374.537
composite,Coumarate,400 uM-C,B,Community,1280.539
composite,Coumarate,400 uM-C,C,Community,1451.174
PRI,Coumarate,400 uM-C,A,Community,929.278
PRI,Coumarate,400 uM-C,B,Community,953.185
PRI,Coumarate,400 uM-C,C,Community,975.896
composite,Acetate,400 uM-C,A,E-37,742.739
composite,Acetate,400 uM-C,B,E-37,880.832
composite,Acetate,400 uM-C,C,E-37,626.895
PRI,Acetate,400 uM-C,A,E-37,3885.448
PRI,Acetate,400 uM-C,B,E-37,3957.962
PRI,Acetate,400 uM-C,C,E-37,4073.48
composite,Casamino,400 uM-C,A,E-37,615.954
composite,Casamino,400 uM-C,B,E-37,703.048
composite,Casamino,400 uM-C,C,E-37,248.759
PRI,Casamino,400 uM-C,A,E-37,2808.237
PRI,Casamino,400 uM-C,B,E-37,2827.534
PRI,Casamino,400 uM-C,C,E-37,2644.536
composite,Coumarate,400 uM-C,A,E-37,1718.908
composite,Coumarate,400 uM-C,B,E-37,1694.2
composite,Coumarate,400 uM-C,C,E-37,625.119
PRI,Coumarate,400 uM-C,A,E-37,3386.71
PRI,Coumarate,400 uM-C,B,E-37,1892.411
PRI,Coumarate,400 uM-C,C,E-37,3560.03
composite,Casamino,40 uM-C,A,E-37,253.4
composite,Casamino,40 uM-C,B,E-37,123.877
composite,Casamino,40 uM-C,C,E-37,97.096
PRI,Casamino,40 uM-C,A,E-37,166.136
PRI,Casamino,40 uM-C,B,E-37,117.059
PRI,Casamino,40 uM-C,C,E-37,162.451
composite,Casamino,4 uM-C,A,E-37,148.372
composite,Casamino,4 uM-C,B,E-37,140.472
composite,Casamino,4 uM-C,C,E-37,115.667
PRI,Casamino,4 uM-C,A,E-37,21.051
PRI,Casamino,4 uM-C,B,E-37,44.331
PRI,Casamino,4 uM-C,C,E-37,95.77
composite,Casamino,1 uM-C,A,E-37,245.688
composite,Casamino,1 uM-C,B,E-37,100.733
composite,Casamino,1 uM-C,C,E-37,141.817
PRI,Casamino,1 uM-C,A,E-37,289.331
PRI,Casamino,1 uM-C,B,E-37,166.429
PRI,Casamino,1 uM-C,C,E-37,289.437
composite,Acetate,400 uM-C,A,SE45,885.365
composite,Acetate,400 uM-C,B,SE45,1569.052
composite,Acetate,400 uM-C,C,SE45,1006.472
PRI,Acetate,400 uM-C,A,SE45,647.612
PRI,Acetate,400 uM-C,B,SE45,1073.814
PRI,Acetate,400 uM-C,C,SE45,758.096
composite,Coumarate,400 uM-C,A,SE45,934.721
composite,Coumarate,400 uM-C,B,SE45,969.503
composite,Coumarate,400 uM-C,C,SE45,1019.101
PRI,Coumarate,400 uM-C,A,SE45,823.009
PRI,Coumarate,400 uM-C,B,SE45,597.344
PRI,Coumarate,400 uM-C,C,SE45,910.927
composite,Casamino,1 uM-C,A,SE45,-41.935
composite,Casamino,1 uM-C,B,SE45,63.862
composite,Casamino,1 uM-C,C,SE45,198.25
PRI,Casamino,1 uM-C,A,SE45,304.763
PRI,Casamino,1 uM-C,B,SE45,293.537
PRI,Casamino,1 uM-C,C,SE45,190.515
composite,Casamino,400 uM-C,A,SE45,1060.312
composite,Casamino,400 uM-C,B,SE45,1068.404
composite,Casamino,400 uM-C,C,SE45,974.983
PRI,Casamino,400 uM-C,A,SE45,421.031
PRI,Casamino,400 uM-C,B,SE45,317.668
PRI,Casamino,400 uM-C,C,SE45,515.484
composite,Casamino,40 uM-C,A,SE45,479.102
composite,Casamino,40 uM-C,B,SE45,459.635
composite,Casamino,40 uM-C,C,SE45,611.413
PRI,Casamino,40 uM-C,A,SE45,264.304
PRI,Casamino,40 uM-C,B,SE45,715.819
PRI,Casamino,40 uM-C,C,SE45,769.214
composite,Casamino,4 uM-C,A,SE45,255.723
composite,Casamino,4 uM-C,B,SE45,365.613
composite,Casamino,4 uM-C,C,SE45,183.196
PRI,Casamino,4 uM-C,A,SE45,230.618
PRI,Casamino,4 uM-C,B,SE45,106.845
PRI,Casamino,4 uM-C,C,SE45,152.753
