Day,Treatment,Carbon,Concentration,Rep,Strain,Count,Sum,,
0,LOM,Acetate,4,A,EE-36,500,8100,,
0,LOM,Acetate,4,A,E-37,3100,8100,,
0,LOM,Acetate,4,A,ISM,200,8100,,
0,LOM,Acetate,4,A,NAS-14.1,2600,8100,,
0,LOM,Acetate,4,A,SE45,300,8100,,
0,LOM,Acetate,4,A,Y4I,1400,8100,,
0,LOM,Acetate,4,B,EE-36,100,8800,,
0,LOM,Acetate,4,B,E-37,2600,8800,,
0,LOM,Acetate,4,B,ISM,200,8800,,
0,LOM,Acetate,4,B,NAS-14.1,4600,8800,,
0,LOM,Acetate,4,B,SE45,300,8800,,
0,LOM,Acetate,4,B,Y4I,1000,8800,,
0,LOM,Acetate,4,C,EE-36,300,6600,,
0,LOM,Acetate,4,C,E-37,3100,6600,,
0,LOM,Acetate,4,C,ISM,300,6600,,
0,LOM,Acetate,4,C,NAS-14.1,2000,6600,,
0,LOM,Acetate,4,C,SE45,200,6600,,
0,LOM,Acetate,4,C,Y4I,700,6600,,
0,LOM,Acetate,4,D,EE-36,0,7400,,
0,LOM,Acetate,4,D,E-37,3500,7400,,
0,LOM,Acetate,4,D,ISM,0,7400,,
0,LOM,Acetate,4,D,NAS-14.1,3100,7400,,
0,LOM,Acetate,4,D,SE45,0,7400,,
0,LOM,Acetate,4,D,Y4I,800,7400,,
0,LOM,Acetate,4,E,EE-36,100,7400,,
0,LOM,Acetate,4,E,E-37,2600,7400,,
0,LOM,Acetate,4,E,ISM,400,7400,,
0,LOM,Acetate,4,E,NAS-14.1,2300,7400,,
0,LOM,Acetate,4,E,SE45,300,7400,,
0,LOM,Acetate,4,E,Y4I,1700,7400,,
0,PRI,Acetate,4,A,EE-36,0,5500,,
0,PRI,Acetate,4,A,E-37,2300,5500,,
0,PRI,Acetate,4,A,ISM,100,5500,,
0,PRI,Acetate,4,A,NAS-14.1,1900,5500,,
0,PRI,Acetate,4,A,SE45,100,5500,,
0,PRI,Acetate,4,A,Y4I,1100,5500,,
0,PRI,Acetate,4,B,EE-36,0,6200,,
0,PRI,Acetate,4,B,E-37,2300,6200,,
0,PRI,Acetate,4,B,ISM,600,6200,,
0,PRI,Acetate,4,B,NAS-14.1,2400,6200,,
0,PRI,Acetate,4,B,SE45,300,6200,,
0,PRI,Acetate,4,B,Y4I,600,6200,,
0,PRI,Acetate,4,C,EE-36,0,2400,,
0,PRI,Acetate,4,C,E-37,1200,2400,,
0,PRI,Acetate,4,C,ISM,100,2400,,
0,PRI,Acetate,4,C,NAS-14.1,500,2400,,
0,PRI,Acetate,4,C,SE45,0,2400,,
0,PRI,Acetate,4,C,Y4I,600,2400,,
0,PRI,Acetate,4,D,EE-36,100,10900,,
0,PRI,Acetate,4,D,E-37,5500,10900,,
0,PRI,Acetate,4,D,ISM,200,10900,,
0,PRI,Acetate,4,D,NAS-14.1,3400,10900,,
0,PRI,Acetate,4,D,SE45,300,10900,,
0,PRI,Acetate,4,D,Y4I,1400,10900,,
0,PRI,Acetate,4,E,EE-36,300,12700,,
0,PRI,Acetate,4,E,E-37,5300,12700,,
0,PRI,Acetate,4,E,ISM,500,12700,,
0,PRI,Acetate,4,E,NAS-14.1,5000,12700,,
0,PRI,Acetate,4,E,SE45,300,12700,,
0,PRI,Acetate,4,E,Y4I,1300,12700,,
0,ABM,Acetate,4,B,EE-36,0,6700,,
0,ABM,Acetate,4,B,E-37,2100,6700,,
0,ABM,Acetate,4,B,ISM,300,6700,,
0,ABM,Acetate,4,B,NAS-14.1,3800,6700,,
0,ABM,Acetate,4,B,SE45,0,6700,,
0,ABM,Acetate,4,B,Y4I,500,6700,,
0,ABM,Acetate,4,C,EE-36,100,7700,,
0,ABM,Acetate,4,C,E-37,2200,7700,,
0,ABM,Acetate,4,C,ISM,200,7700,,
0,ABM,Acetate,4,C,NAS-14.1,4500,7700,,
0,ABM,Acetate,4,C,SE45,300,7700,,
0,ABM,Acetate,4,C,Y4I,400,7700,,
0,ABM,Acetate,4,D,EE-36,0,7200,,
0,ABM,Acetate,4,D,E-37,2200,7200,,
0,ABM,Acetate,4,D,ISM,200,7200,,
0,ABM,Acetate,4,D,NAS-14.1,3900,7200,,
0,ABM,Acetate,4,D,SE45,100,7200,,
0,ABM,Acetate,4,D,Y4I,800,7200,,
0,ABM,Acetate,4,E,EE-36,100,7700,,
0,ABM,Acetate,4,E,E-37,2300,7700,,
0,ABM,Acetate,4,E,ISM,300,7700,,
0,ABM,Acetate,4,E,NAS-14.1,3700,7700,,
0,ABM,Acetate,4,E,SE45,400,7700,,
0,ABM,Acetate,4,E,Y4I,900,7700,,
0,NOM,Acetate,4,A,EE-36,0,8800,,
0,NOM,Acetate,4,A,E-37,3800,8800,,
0,NOM,Acetate,4,A,ISM,200,8800,,
0,NOM,Acetate,4,A,NAS-14.1,3400,8800,,
0,NOM,Acetate,4,A,SE45,400,8800,,
0,NOM,Acetate,4,A,Y4I,1000,8800,,
0,NOM,Acetate,4,B,EE-36,100,7700,,
0,NOM,Acetate,4,B,E-37,3200,7700,,
0,NOM,Acetate,4,B,ISM,300,7700,,
0,NOM,Acetate,4,B,NAS-14.1,3100,7700,,
0,NOM,Acetate,4,B,SE45,300,7700,,
0,NOM,Acetate,4,B,Y4I,700,7700,,
0,NOM,Acetate,4,C,EE-36,200,8100,,
0,NOM,Acetate,4,C,E-37,2800,8100,,
0,NOM,Acetate,4,C,ISM,600,8100,,
0,NOM,Acetate,4,C,NAS-14.1,3200,8100,,
0,NOM,Acetate,4,C,SE45,500,8100,,
0,NOM,Acetate,4,C,Y4I,800,8100,,
0,NOM,Acetate,4,D,EE-36,0,8700,,
