Strain,Treatment,Rep,Count,Experiment
E37,ABM,A,1260000,ViableCount
E37,ABM,B,580000,ViableCount
E37,ABM,C,640000,ViableCount
E37,ABM,D,1360000,ViableCount
E37,ABM,E,1000000,ViableCount
E37,NOM,A,6600000,ViableCount
E37,NOM,B,7900000,ViableCount
E37,NOM,C,8400000,ViableCount
E37,NOM,D,7600000,ViableCount
E37,NOM,E,6600000,ViableCount
E37,ABM,F,510000,ViableCount
E37,ABM,G,470000,ViableCount
E37,ABM,H,760000,ViableCount
E37,ABM,I,560000,ViableCount
E37,NOM,F,1180000,ViableCount
E37,NOM,G,760000,ViableCount
E37,NOM,H,280000,ViableCount
E37,NOM,I,780000,ViableCount
E37,NOM,J,1370000,ViableCount
E37,Casa4Lom,A,740000,ViableCount
E37,Casa4Lom,B,130000,ViableCount
E37,Casa4Lom,C,1200000,ViableCount
E37,Casa4Lom,D,1140000,ViableCount
E37,Casa4Lom,E,400000,ViableCount
E37,Casa4Pri,A,1310000,ViableCount
E37,Casa4Pri,B,240000,ViableCount
E37,Casa4Pri,C,2000000,ViableCount
E37,Casa4Pri,D,1560000,ViableCount
E37,Casa4Pri,E,630000,ViableCount
E37,Casa40Lom,A,620000,ViableCount
E37,Casa40Lom,B,660000,ViableCount
E37,Casa40Lom,C,720000,ViableCount
E37,Casa40Lom,D,610000,ViableCount
E37,Casa40Lom,E,1040000,ViableCount
E37,Casa40Pri,A,490000,ViableCount
E37,Casa40Pri,B,420000,ViableCount
E37,Casa40Pri,C,2100000,ViableCount
E37,Casa40Pri,D,3080000,ViableCount
E37,Casa40Pri,E,2320000,ViableCount
E37,Casa400Lom,A,180000,ViableCount
E37,Casa400Lom,B,420000,ViableCount
E37,Casa400Lom,C,1020000,ViableCount
E37,Casa400Pri,A,580000,ViableCount
E37,Casa400Pri,B,820000,ViableCount
E37,Casa400Pri,C,750000,ViableCount
E37,Casa400Pri,D,1010000,ViableCount
E37,Casa400Pri,E,740000,ViableCount
E37,Casa1Lom,A,60000,ViableCount
E37,Casa1Lom,B,110000,ViableCount
E37,Casa1Lom,C,130000,ViableCount
E37,Casa1Lom,D,90000,ViableCount
E37,Casa1Lom,E,110000,ViableCount
E37,Casa1Pri,A,112700,ViableCount
E37,Casa1Pri,B,97200,ViableCount
E37,Casa1Pri,C,87600,ViableCount
E37,Casa1Pri,D,88300,ViableCount
E37,Casa1Pri,E,91400,ViableCount
E37,ABM,J,400000,ViableCount
E37,ABM,K,1400000,ViableCount
E37,ABM,L,1250000,ViableCount
E37,ABM,M,1740000,ViableCount
E37,ABM,N,1670000,ViableCount
E37,NOM,K,6100000,ViableCount
E37,NOM,L,4100000,ViableCount
E37,NOM,M,3300000,ViableCount
E37,NOM,N,9500000,ViableCount
E37,NOM,O,7400000,ViableCount
E37,Coum400Lom,A,2700000,ViableCount
E37,Coum400Lom,B,800000,ViableCount
E37,Coum400Lom,C,700000,ViableCount
E37,Coum400Lom,D,2300000,ViableCount
E37,Coum400Lom,E,7300000,ViableCount
E37,Coum400Pri,A,10700000,ViableCount
E37,Coum400Pri,B,15700000,ViableCount
E37,Coum400Pri,C,7100000,ViableCount
E37,Coum400Pri,D,12000000,ViableCount
E37,Coum400Pri,E,6300000,ViableCount
E37,Ace400Pri,A,600000,ViableCount
E37,Ace400Pri,B,1400000,ViableCount
E37,Ace400Pri,C,700000,ViableCount
E37,Ace400Pri,D,1900000,ViableCount
E37,Ace400Pri,E,1900000,ViableCount
E37,Ace400Lom,A,320000,ViableCount
E37,Ace400Lom,B,190000,ViableCount
E37,Ace400Lom,C,390000,ViableCount
E37,Ace400Lom,D,150000,ViableCount
E37,Ace400Lom,E,200000,ViableCount
E37,ABM,O,240000,ViableCount
E37,ABM,P,60000,ViableCount
E37,ABM,Q,20000,ViableCount
E37,ABM,R,160000,ViableCount
E37,ABM,S,80000,ViableCount
E37,NOM,P,1200000,ViableCount
E37,NOM,Q,1100000,ViableCount
E37,NOM,R,1200000,ViableCount
E37,NOM,S,1200000,ViableCount
E37,NOM,T,600000,ViableCount
E37,ABM,T,92900,ViableCount
E37,ABM,U,90600,ViableCount
E37,ABM,V,97900,ViableCount
E37,ABM,W,95600,ViableCount
E37,ABM,X,98300,ViableCount
E37,NOM,U,93600,ViableCount
E37,NOM,V,94700,ViableCount
E37,NOM,W,98100,ViableCount
E37,NOM,X,88100,ViableCount
SE45,ABM,A,440000,ViableCount
SE45,ABM,B,800000,ViableCount
SE45,ABM,C,1070000,ViableCount
SE45,ABM,D,850000,ViableCount
SE45,ABM,E,1110000,ViableCount
SE45,ABM,F,940000,ViableCount
SE45,ABM,G,570000,ViableCount
SE45,ABM,H,1110000,ViableCount
SE45,ABM,I,960000,ViableCount
SE45,ABM,J,1330000,ViableCount
SE45,ABM,K,630000,ViableCount
SE45,ABM,L,520000,ViableCount
SE45,ABM,M,900000,ViableCount
SE45,ABM,N,310000,ViableCount
SE45,ABM,O,90000,ViableCount
SE45,ABM,P,186000,ViableCount
SE45,ABM,Q,114000,ViableCount
SE45,ABM,R,90000,ViableCount
SE45,ABM,S,254000,ViableCount
SE45,ABM,T,180000,ViableCount
SE45,ABM,U,60000,ViableCount
SE45,ABM,V,140000,ViableCount
SE45,ABM,W,310000,ViableCount
SE45,ABM,X,60000,ViableCount
SE45,NOM,A,660000,ViableCount
SE45,NOM,B,430000,ViableCount
SE45,NOM,C,740000,ViableCount
SE45,NOM,D,470000,ViableCount
SE45,NOM,E,680000,ViableCount
SE45,NOM,F,1420000,ViableCount
SE45,NOM,G,910000,ViableCount
SE45,NOM,H,1290000,ViableCount
SE45,NOM,I,1360000,ViableCount
SE45,NOM,J,1310000,ViableCount
SE45,NOM,K,1120000,ViableCount
SE45,NOM,L,1410000,ViableCount
SE45,NOM,M,810000,ViableCount
SE45,NOM,N,1280000,ViableCount
SE45,NOM,O,1480000,ViableCount
SE45,NOM,P,101000,ViableCount
SE45,NOM,Q,910000,ViableCount
SE45,NOM,R,810000,ViableCount
SE45,NOM,S,830000,ViableCount
SE45,NOM,T,790000,ViableCount
SE45,NOM,U,510000,ViableCount
SE45,NOM,V,380000,ViableCount
SE45,NOM,W,670000,ViableCount
SE45,NOM,X,680000,ViableCount
SE45,NOM,Y,410000,ViableCount
