Int,Treatment,Carbon,Concentration,Rep,Strain,CO2Accum,Expt
0,ABM,Control_low,0 uM-C,A,Community,0,1
0,ABM,Control_low,0 uM-C,B,Community,0,1
0,ABM,Control_low,0 uM-C,C,Community,0,1
0,NOM,Control_low,0 uM-C,A,Community,0,1
0,NOM,Control_low,0 uM-C,B,Community,0,1
0,NOM,Control_low,0 uM-C,C,Community,0,1
0,LOM,Casamino Acids,40 uM-C,A,Community,0,1
0,LOM,Casamino Acids,40 uM-C,B,Community,0,1
0,LOM,Casamino Acids,40 uM-C,C,Community,0,1
0,PRI,Casamino Acids,40 uM-C,A,Community,0,1
0,PRI,Casamino Acids,40 uM-C,B,Community,0,1
0,PRI,Casamino Acids,40 uM-C,C,Community,0,1
0,LOM,Casamino Acids,4 uM-C,A,Community,0,1
0,LOM,Casamino Acids,4 uM-C,B,Community,0,1
0,LOM,Casamino Acids,4 uM-C,C,Community,0,1
0,PRI,Casamino Acids,4 uM-C,A,Community,0,1
0,PRI,Casamino Acids,4 uM-C,B,Community,0,1
0,PRI,Casamino Acids,4 uM-C,C,Community,0,1
0,LOM,Casamino Acids,1 uM-C,A,Community,0,1
0,LOM,Casamino Acids,1 uM-C,B,Community,0,1
0,LOM,Casamino Acids,1 uM-C,C,Community,0,1
0,PRI,Casamino Acids,1 uM-C,A,Community,0,1
0,PRI,Casamino Acids,1 uM-C,B,Community,0,1
0,PRI,Casamino Acids,1 uM-C,C,Community,0,1
1,ABM,Control_low,0 uM-C,A,Community,1.581,1
1,ABM,Control_low,0 uM-C,B,Community,0.521,1
1,ABM,Control_low,0 uM-C,C,Community,1.974,1
1,NOM,Control_low,0 uM-C,A,Community,3.95,1
1,NOM,Control_low,0 uM-C,B,Community,4.518,1
1,NOM,Control_low,0 uM-C,C,Community,4.143,1
1,LOM,Casamino Acids,40 uM-C,A,Community,4.902,1
1,LOM,Casamino Acids,40 uM-C,B,Community,4.31,1
1,LOM,Casamino Acids,40 uM-C,C,Community,5.524,1
1,composite,Casamino Acids,40 uM-C,A,Community,8.852,1
1,composite,Casamino Acids,40 uM-C,B,Community,8.828,1
1,composite,Casamino Acids,40 uM-C,C,Community,9.667,1
1,PRI,Casamino Acids,40 uM-C,A,Community,14.065,1
1,PRI,Casamino Acids,40 uM-C,B,Community,12.794,1
1,PRI,Casamino Acids,40 uM-C,C,Community,13.212,1
1,LOM,Casamino Acids,4 uM-C,A,Community,3.092,1
1,LOM,Casamino Acids,4 uM-C,B,Community,3.386,1
1,LOM,Casamino Acids,4 uM-C,C,Community,4.651,1
1,composite,Casamino Acids,4 uM-C,A,Community,7.042,1
1,composite,Casamino Acids,4 uM-C,B,Community,7.904,1
1,composite,Casamino Acids,4 uM-C,C,Community,8.794,1
1,PRI,Casamino Acids,4 uM-C,A,Community,9.857,1
1,PRI,Casamino Acids,4 uM-C,B,Community,10.019,1
1,PRI,Casamino Acids,4 uM-C,C,Community,10.16,1
1,LOM,Casamino Acids,1 uM-C,A,Community,7.999,1
1,LOM,Casamino Acids,1 uM-C,B,Community,8.318,1
1,LOM,Casamino Acids,1 uM-C,C,Community,7.653,1
1,composite,Casamino Acids,1 uM-C,A,Community,11.949,1
1,composite,Casamino Acids,1 uM-C,B,Community,12.836,1
1,composite,Casamino Acids,1 uM-C,C,Community,11.796,1
1,PRI,Casamino Acids,1 uM-C,A,Community,10.547,1
1,PRI,Casamino Acids,1 uM-C,B,Community,11.211,1
1,PRI,Casamino Acids,1 uM-C,C,Community,10.608,1
2,ABM,Control_low,0 uM-C,A,Community,4.573,1
2,ABM,Control_low,0 uM-C,B,Community,2.709,1
2,ABM,Control_low,0 uM-C,C,Community,6.681,1
2,NOM,Control_low,0 uM-C,A,Community,7.289,1
2,NOM,Control_low,0 uM-C,B,Community,5.624,1
2,NOM,Control_low,0 uM-C,C,Community,6.981,1
2,LOM,Casamino Acids,40 uM-C,A,Community,8.311,1
2,LOM,Casamino Acids,40 uM-C,B,Community,8.458,1
2,LOM,Casamino Acids,40 uM-C,C,Community,9.791,1
2,composite,Casamino Acids,40 uM-C,A,Community,15.6,1
2,composite,Casamino Acids,40 uM-C,B,Community,14.082,1
2,composite,Casamino Acids,40 uM-C,C,Community,16.772,1
2,PRI,Casamino Acids,40 uM-C,A,Community,25.707,1
2,PRI,Casamino Acids,40 uM-C,B,Community,25.991,1
2,PRI,Casamino Acids,40 uM-C,C,Community,23.761,1
2,LOM,Casamino Acids,4 uM-C,A,Community,5.336,1
2,LOM,Casamino Acids,4 uM-C,B,Community,4.507,1
2,LOM,Casamino Acids,4 uM-C,C,Community,7.492,1
2,composite,Casamino Acids,4 uM-C,A,Community,12.625,1
2,composite,Casamino Acids,4 uM-C,B,Community,10.131,1
2,composite,Casamino Acids,4 uM-C,C,Community,14.473,1
2,PRI,Casamino Acids,4 uM-C,A,Community,15.005,1
2,PRI,Casamino Acids,4 uM-C,B,Community,19.188,1
2,PRI,Casamino Acids,4 uM-C,C,Community,17.723,1
2,LOM,Casamino Acids,1 uM-C,A,Community,13.801,1
2,LOM,Casamino Acids,1 uM-C,B,Community,14.189,1
2,LOM,Casamino Acids,1 uM-C,C,Community,12.929,1
2,composite,Casamino Acids,1 uM-C,A,Community,21.09,1
2,composite,Casamino Acids,1 uM-C,B,Community,19.813,1
2,composite,Casamino Acids,1 uM-C,C,Community,19.91,1
2,PRI,Casamino Acids,1 uM-C,A,Community,19.553,1
2,PRI,Casamino Acids,1 uM-C,B,Community,19.289,1
2,PRI,Casamino Acids,1 uM-C,C,Community,19.468,1
3,ABM,Control_low,0 uM-C,A,Community,8.305,1
3,ABM,Control_low,0 uM-C,B,Community,4.682,1
3,ABM,Control_low,0 uM-C,C,Community,8.238,1
3,NOM,Control_low,0 uM-C,A,Community,10.145,1
3,NOM,Control_low,0 uM-C,B,Community,9.708,1
3,NOM,Control_low,0 uM-C,C,Community,9.482,1
3,LOM,Casamino Acids,40 uM-C,A,Community,11.775,1
3,LOM,Casamino Acids,40 uM-C,B,Community,11.821,1
3,LOM,Casamino Acids,40 uM-C,C,Community,14.69,1
3,composite,Casamino Acids,40 uM-C,A,Community,21.92,1
3,composite,Casamino Acids,40 uM-C,B,Community,21.529,1
3,composite,Casamino Acids,40 uM-C,C,Community,24.172,1
3,PRI,Casamino Acids,40 uM-C,A,Community,36.864,1
3,PRI,Casamino Acids,40 uM-C,B,Community,36.993,1
3,PRI,Casamino Acids,40 uM-C,C,Community,35.309,1
3,LOM,Casamino Acids,4 uM-C,A,Community,8.532,1
3,LOM,Casamino Acids,4 uM-C,B,Community,8.623,1
3,LOM,Casamino Acids,4 uM-C,C,Community,11.098,1
3,composite,Casamino Acids,4 uM-C,A,Community,18.677,1
3,composite,Casamino Acids,4 uM-C,B,Community,18.331,1
3,composite,Casamino Acids,4 uM-C,C,Community,20.58,1
3,PRI,Casamino Acids,4 uM-C,A,Community,23.517,1
3,PRI,Casamino Acids,4 uM-C,B,Community,27.796,1
3,PRI,Casamino Acids,4 uM-C,C,Community,26.325,1
3,LOM,Casamino Acids,1 uM-C,A,Community,20.298,1
3,LOM,Casamino Acids,1 uM-C,B,Community,21.097,1
3,LOM,Casamino Acids,1 uM-C,C,Community,20.371,1
3,composite,Casamino Acids,1 uM-C,A,Community,30.443,1
3,composite,Casamino Acids,1 uM-C,B,Community,30.805,1
3,composite,Casamino Acids,1 uM-C,C,Community,29.853,1
3,PRI,Casamino Acids,1 uM-C,A,Community,28.084,1
3,PRI,Casamino Acids,1 uM-C,B,Community,29.153,1
3,PRI,Casamino Acids,1 uM-C,C,Community,31.3,1
4,ABM,Control_low,0 uM-C,A,Community,12.837,1
4,ABM,Control_low,0 uM-C,B,Community,6.586,1
4,ABM,Control_low,0 uM-C,C,Community,10.383,1
4,NOM,Control_low,0 uM-C,A,Community,13.076,1
4,NOM,Control_low,0 uM-C,B,Community,12.556,1
4,NOM,Control_low,0 uM-C,C,Community,11.425,1
4,LOM,Casamino Acids,40 uM-C,A,Community,15.032,1
4,LOM,Casamino Acids,40 uM-C,B,Community,17.367,1
4,LOM,Casamino Acids,40 uM-C,C,Community,18.691,1
4,composite,Casamino Acids,40 uM-C,A,Community,28.108,1
4,composite,Casamino Acids,40 uM-C,B,Community,29.923,1
4,composite,Casamino Acids,40 uM-C,C,Community,30.116,1
4,PRI,Casamino Acids,40 uM-C,A,Community,48.187,1
4,PRI,Casamino Acids,40 uM-C,B,Community,49.132,1
4,PRI,Casamino Acids,40 uM-C,C,Community,46.929,1
4,LOM,Casamino Acids,4 uM-C,A,Community,11.135,1
4,LOM,Casamino Acids,4 uM-C,B,Community,11.331,1
4,LOM,Casamino Acids,4 uM-C,C,Community,13.278,1
4,composite,Casamino Acids,4 uM-C,A,Community,24.211,1
4,composite,Casamino Acids,4 uM-C,B,Community,23.887,1
4,composite,Casamino Acids,4 uM-C,C,Community,24.703,1
4,PRI,Casamino Acids,4 uM-C,A,Community,32.316,1
4,PRI,Casamino Acids,4 uM-C,B,Community,34.634,1
4,PRI,Casamino Acids,4 uM-C,C,Community,34.478,1
4,LOM,Casamino Acids,1 uM-C,A,Community,26.748,1
4,LOM,Casamino Acids,1 uM-C,B,Community,26.809,1
4,LOM,Casamino Acids,1 uM-C,C,Community,25.739,1
4,composite,Casamino Acids,1 uM-C,A,Community,39.824,1
4,composite,Casamino Acids,1 uM-C,B,Community,39.365,1
4,composite,Casamino Acids,1 uM-C,C,Community,37.164,1
4,PRI,Casamino Acids,1 uM-C,A,Community,36.525,1
4,PRI,Casamino Acids,1 uM-C,B,Community,36.936,1
4,PRI,Casamino Acids,1 uM-C,C,Community,42.059,1
5,ABM,Control_low,0 uM-C,A,Community,15.509,1
5,ABM,Control_low,0 uM-C,B,Community,9.799,1
5,ABM,Control_low,0 uM-C,C,Community,12.649,1
5,NOM,Control_low,0 uM-C,A,Community,15.29,1
5,NOM,Control_low,0 uM-C,B,Community,14.288,1
5,NOM,Control_low,0 uM-C,C,Community,13.766,1
5,LOM,Casamino Acids,40 uM-C,A,Community,18.006,1
5,LOM,Casamino Acids,40 uM-C,B,Community,20.438,1
5,LOM,Casamino Acids,40 uM-C,C,Community,22.032,1
5,composite,Casamino Acids,40 uM-C,A,Community,33.296,1
5,composite,Casamino Acids,40 uM-C,B,Community,34.726,1
5,composite,Casamino Acids,40 uM-C,C,Community,35.798,1
5,PRI,Casamino Acids,40 uM-C,A,Community,58.446,1
5,PRI,Casamino Acids,40 uM-C,B,Community,58.571,1
5,PRI,Casamino Acids,40 uM-C,C,Community,56.577,1
