Carbon,Concentration,Treatment,Strain,Rep,CO2_1,CO2_2,Time_1,Time_2,Rate
Casamino Acids,1 uM-C,LOM,E-37,A,-10.356,-9.349,25.5,51,0.039490196
Casamino Acids,1 uM-C,LOM,E-37,B,3.078,-5.754,25.5,51,-0.346352941
Casamino Acids,1 uM-C,LOM,E-37,C,-6.271,-18.571,25.5,51,-0.482352941
Casamino Acids,1 uM-C,NOM,E-37,A,36.237,91.494,25.5,51,2.166941176
Casamino Acids,1 uM-C,NOM,E-37,B,15.128,60.709,25.5,51,1.787490196
Casamino Acids,1 uM-C,NOM,E-37,C,47.872,103.803,25.5,51,2.193372549
Casamino Acids,4 uM-C,LOM,E-37,A,-9.905,-42.787,25.5,51,-1.289490196
Casamino Acids,4 uM-C,LOM,E-37,B,9.113,1.896,25.5,51,-0.283019608
Casamino Acids,4 uM-C,LOM,E-37,C,-27.679,-37.425,25.5,51,-0.382196078
Casamino Acids,4 uM-C,NOM,E-37,A,36.237,91.494,25.5,51,2.166941176
Casamino Acids,4 uM-C,NOM,E-37,B,15.128,60.709,25.5,51,1.787490196
Casamino Acids,4 uM-C,NOM,E-37,C,47.872,103.803,25.5,51,2.193372549
Casamino Acids,40 uM-C,LOM,E-37,A,-32.385,-32.925,35.7,56.1,-0.026470588
Casamino Acids,40 uM-C,LOM,E-37,B,-3.758,-12.005,35.7,56.1,-0.404264706
Casamino Acids,40 uM-C,LOM,E-37,C,-3.722,-22.23,35.7,56.1,-0.907254902
Casamino Acids,40 uM-C,NOM,E-37,A,36.237,91.494,25.5,51,2.166941176
Casamino Acids,40 uM-C,NOM,E-37,B,15.128,60.709,25.5,51,1.787490196
Casamino Acids,40 uM-C,NOM,E-37,C,47.872,103.803,25.5,51,2.193372549
Casamino Acids,400 uM-C,LOM,E-37,A,-5.35,27.487,12.75,45.9,0.990558069
Casamino Acids,400 uM-C,LOM,E-37,B,22.734,121.189,12.75,45.9,2.969984917
Casamino Acids,400 uM-C,LOM,E-37,C,1.806,43.53,12.75,45.9,1.258642534
Casamino Acids,400 uM-C,NOM,E-37,A,50.018,183.559,12.75,45.9,4.028386124
Casamino Acids,400 uM-C,NOM,E-37,B,45.948,178.9,12.75,45.9,4.010618401
Casamino Acids,400 uM-C,NOM,E-37,C,55.255,132.699,12.75,45.9,2.336168929
Acetate,400 uM-C,LOM,E-37,A,-2.74,101.985,12.75,45.9,3.159125189
Acetate,400 uM-C,LOM,E-37,B,0.542,105.84,12.75,45.9,3.176410256
Acetate,400 uM-C,LOM,E-37,C,0.885,106.651,12.75,45.9,3.190527903
Acetate,400 uM-C,NOM,E-37,A,50.018,183.559,12.75,45.9,4.028386124
Acetate,400 uM-C,NOM,E-37,B,45.948,178.9,12.75,45.9,4.010618401
Acetate,400 uM-C,NOM,E-37,C,55.255,132.699,12.75,45.9,2.336168929
Coumarate,400 uM-C,LOM,E-37,A,68.129,336.601,12.75,45.9,8.098702866
