Day,Concentration,Treatment,Rep,Count,Carbon
0,4 uM-C,ABM,A,19900,Casamino Acids
0,4 uM-C,ABM,B,19400,Casamino Acids
0,4 uM-C,ABM,C,20500,Casamino Acids
0,4 uM-C,ABM,D,17800,Casamino Acids
0,4 uM-C,ABM,E,14900,Casamino Acids
0,4 uM-C,LOM,A,21700,Casamino Acids
0,4 uM-C,LOM,B,16800,Casamino Acids
0,4 uM-C,LOM,C,13200,Casamino Acids
0,4 uM-C,LOM,D,18500,Casamino Acids
0,4 uM-C,LOM,E,16100,Casamino Acids
0,4 uM-C,NOM,A,13800,Casamino Acids
0,4 uM-C,NOM,B,20600,Casamino Acids
0,4 uM-C,NOM,C,22700,Casamino Acids
0,4 uM-C,NOM,D,18200,Casamino Acids
0,4 uM-C,NOM,E,18600,Casamino Acids
0,4 uM-C,composite,A,35500,Casamino Acids
0,4 uM-C,composite,B,37400,Casamino Acids
0,4 uM-C,composite,C,35900,Casamino Acids
0,4 uM-C,composite,D,36700,Casamino Acids
0,4 uM-C,composite,E,34700,Casamino Acids
0,4 uM-C,PRI,A,17500,Casamino Acids
0,4 uM-C,PRI,B,19000,Casamino Acids
0,4 uM-C,PRI,C,15700,Casamino Acids
0,4 uM-C,PRI,D,13200,Casamino Acids
0,4 uM-C,PRI,E,16200,Casamino Acids
0,40 uM-C,ABM,A,19900,Casamino Acids
0,40 uM-C,ABM,B,19400,Casamino Acids
0,40 uM-C,ABM,C,20500,Casamino Acids
0,40 uM-C,ABM,D,17800,Casamino Acids
0,40 uM-C,ABM,E,14900,Casamino Acids
0,40 uM-C,LOM,A,16500,Casamino Acids
0,40 uM-C,LOM,B,15700,Casamino Acids
0,40 uM-C,LOM,C,15800,Casamino Acids
0,40 uM-C,LOM,D,23700,Casamino Acids
0,40 uM-C,LOM,E,8400,Casamino Acids
0,40 uM-C,NOM,A,13800,Casamino Acids
0,40 uM-C,NOM,B,20600,Casamino Acids
0,40 uM-C,NOM,C,22700,Casamino Acids
0,40 uM-C,NOM,D,18200,Casamino Acids
0,40 uM-C,NOM,E,18600,Casamino Acids
