Day,Concentration,Carbon,Treatment,Rep,Count
0,4 uM-C,Casamino Acids,ABM,A,33600
0,4 uM-C,Casamino Acids,ABM,B,29500
0,4 uM-C,Casamino Acids,ABM,C,27000
0,4 uM-C,Casamino Acids,ABM,D,29200
0,4 uM-C,Casamino Acids,ABM,E,33300
0,4 uM-C,Casamino Acids,LOM,A,34900
0,4 uM-C,Casamino Acids,LOM,B,35300
0,4 uM-C,Casamino Acids,LOM,C,29800
0,4 uM-C,Casamino Acids,LOM,D,28600
0,4 uM-C,Casamino Acids,NOM,A,30500
0,4 uM-C,Casamino Acids,NOM,B,28600
0,4 uM-C,Casamino Acids,NOM,C,32100
0,4 uM-C,Casamino Acids,NOM,D,32900
0,4 uM-C,Casamino Acids,NOM,E,29000
0,4 uM-C,Casamino Acids,composite,A,65400
0,4 uM-C,Casamino Acids,composite,B,63900
0,4 uM-C,Casamino Acids,composite,C,61900
0,4 uM-C,Casamino Acids,composite,D,61500
0,4 uM-C,Casamino Acids,PRI,A,35200
0,4 uM-C,Casamino Acids,PRI,B,28800
0,4 uM-C,Casamino Acids,PRI,C,25300
0,4 uM-C,Casamino Acids,PRI,D,26000
0,4 uM-C,Casamino Acids,PRI,E,24100
0,40 uM-C,Casamino Acids,ABM,A,33600
0,40 uM-C,Casamino Acids,ABM,B,29500
0,40 uM-C,Casamino Acids,ABM,C,27000
0,40 uM-C,Casamino Acids,ABM,D,29200
0,40 uM-C,Casamino Acids,ABM,E,33300
0,40 uM-C,Casamino Acids,LOM,A,37800
0,40 uM-C,Casamino Acids,LOM,B,34400
0,40 uM-C,Casamino Acids,LOM,C,28700
0,40 uM-C,Casamino Acids,LOM,D,35700
0,40 uM-C,Casamino Acids,LOM,E,36100
0,40 uM-C,Casamino Acids,NOM,A,30500
0,40 uM-C,Casamino Acids,NOM,B,28600
0,40 uM-C,Casamino Acids,NOM,C,32100
0,40 uM-C,Casamino Acids,NOM,D,32900
0,40 uM-C,Casamino Acids,NOM,E,29000
0,40 uM-C,Casamino Acids,composite,A,68300
0,40 uM-C,Casamino Acids,composite,B,63000
0,40 uM-C,Casamino Acids,composite,C,60800
0,40 uM-C,Casamino Acids,composite,D,68600
0,40 uM-C,Casamino Acids,composite,E,65100
0,40 uM-C,Casamino Acids,PRI,A,31600
0,40 uM-C,Casamino Acids,PRI,B,35500
0,40 uM-C,Casamino Acids,PRI,C,27200
0,40 uM-C,Casamino Acids,PRI,D,29100
0,40 uM-C,Casamino Acids,PRI,E,29500
0,400 uM-C,Casamino Acids,ABM,A,33600
0,400 uM-C,Casamino Acids,ABM,B,29500
0,400 uM-C,Casamino Acids,ABM,C,27000
0,400 uM-C,Casamino Acids,ABM,D,29200
0,400 uM-C,Casamino Acids,ABM,E,33300
0,400 uM-C,Casamino Acids,LOM,A,28500
0,400 uM-C,Casamino Acids,LOM,B,27400
0,400 uM-C,Casamino Acids,LOM,C,28900
0,400 uM-C,Casamino Acids,LOM,D,28800
0,400 uM-C,Casamino Acids,LOM,E,26400
0,400 uM-C,Casamino Acids,NOM,A,30500
0,400 uM-C,Casamino Acids,NOM,B,28600
0,400 uM-C,Casamino Acids,NOM,C,32100
0,400 uM-C,Casamino Acids,NOM,D,32900
0,400 uM-C,Casamino Acids,NOM,E,29000
0,400 uM-C,Casamino Acids,composite,A,59000
0,400 uM-C,Casamino Acids,composite,B,56000
0,400 uM-C,Casamino Acids,composite,C,61000
0,400 uM-C,Casamino Acids,composite,D,61700
0,400 uM-C,Casamino Acids,composite,E,55400
0,400 uM-C,Casamino Acids,PRI,A,31300
0,400 uM-C,Casamino Acids,PRI,B,24500
0,400 uM-C,Casamino Acids,PRI,C,25300
0,400 uM-C,Casamino Acids,PRI,D,30300
0,400 uM-C,Casamino Acids,PRI,E,25200
1,4 uM-C,Casamino Acids,ABM,A,1800000
1,4 uM-C,Casamino Acids,ABM,B,2310000
1,4 uM-C,Casamino Acids,ABM,D,2590000
1,4 uM-C,Casamino Acids,ABM,E,1830000
1,4 uM-C,Casamino Acids,LOM,A,2100000
1,4 uM-C,Casamino Acids,LOM,B,3000000
1,4 uM-C,Casamino Acids,LOM,C,5200000
1,4 uM-C,Casamino Acids,LOM,D,2600000
1,4 uM-C,Casamino Acids,LOM,E,3100000
1,4 uM-C,Casamino Acids,NOM,A,2670000
1,4 uM-C,Casamino Acids,NOM,B,1290000
1,4 uM-C,Casamino Acids,NOM,C,1080000
1,4 uM-C,Casamino Acids,NOM,D,910000
1,4 uM-C,Casamino Acids,composite,A,4770000
1,4 uM-C,Casamino Acids,composite,B,4290000
1,4 uM-C,Casamino Acids,composite,C,6280000
1,4 uM-C,Casamino Acids,composite,D,3510000
1,4 uM-C,Casamino Acids,PRI,A,7000000
1,4 uM-C,Casamino Acids,PRI,B,9700000
1,4 uM-C,Casamino Acids,PRI,C,8000000
1,4 uM-C,Casamino Acids,PRI,D,6700000
1,4 uM-C,Casamino Acids,PRI,E,5400000
1,40 uM-C,Casamino Acids,ABM,A,1800000
1,40 uM-C,Casamino Acids,ABM,B,2310000
1,40 uM-C,Casamino Acids,ABM,C,2590000
1,40 uM-C,Casamino Acids,ABM,D,1830000
1,40 uM-C,Casamino Acids,LOM,A,5200000
1,40 uM-C,Casamino Acids,LOM,B,4000000
1,40 uM-C,Casamino Acids,LOM,C,3900000
1,40 uM-C,Casamino Acids,LOM,D,5100000
1,40 uM-C,Casamino Acids,LOM,E,4600000
1,40 uM-C,Casamino Acids,NOM,A,2670000
1,40 uM-C,Casamino Acids,NOM,B,1290000
1,40 uM-C,Casamino Acids,NOM,C,1080000
1,40 uM-C,Casamino Acids,NOM,D,910000
1,40 uM-C,Casamino Acids,composite,A,7870000
1,40 uM-C,Casamino Acids,composite,B,5290000
1,40 uM-C,Casamino Acids,composite,C,4980000
1,40 uM-C,Casamino Acids,composite,D,6010000
1,40 uM-C,Casamino Acids,PRI,A,7400000
1,40 uM-C,Casamino Acids,PRI,B,8600000
1,40 uM-C,Casamino Acids,PRI,C,5500000
1,40 uM-C,Casamino Acids,PRI,D,8300000
1,40 uM-C,Casamino Acids,PRI,E,5000000
1,400 uM-C,Casamino Acids,ABM,A,1800000
1,400 uM-C,Casamino Acids,ABM,B,2310000
1,400 uM-C,Casamino Acids,ABM,D,2590000
1,400 uM-C,Casamino Acids,ABM,E,1830000
1,400 uM-C,Casamino Acids,LOM,A,10000000
1,400 uM-C,Casamino Acids,LOM,B,11000000
1,400 uM-C,Casamino Acids,LOM,C,19000000
1,400 uM-C,Casamino Acids,LOM,D,17000000
1,400 uM-C,Casamino Acids,LOM,E,20000000
1,400 uM-C,Casamino Acids,NOM,A,2670000
1,400 uM-C,Casamino Acids,NOM,B,1290000
1,400 uM-C,Casamino Acids,NOM,C,1080000
1,400 uM-C,Casamino Acids,NOM,D,910000
1,400 uM-C,Casamino Acids,composite,A,12670000
1,400 uM-C,Casamino Acids,composite,B,12290000
1,400 uM-C,Casamino Acids,composite,C,20080000
1,400 uM-C,Casamino Acids,composite,D,17910000
1,400 uM-C,Casamino Acids,PRI,A,15300000
1,400 uM-C,Casamino Acids,PRI,B,19100000
1,400 uM-C,Casamino Acids,PRI,C,18400000
1,400 uM-C,Casamino Acids,PRI,D,16400000
1,400 uM-C,Casamino Acids,PRI,E,19400000
2,4 uM-C,Casamino Acids,ABM,A,1640000
2,4 uM-C,Casamino Acids,ABM,B,2110000
2,4 uM-C,Casamino Acids,ABM,D,2770000
2,4 uM-C,Casamino Acids,ABM,E,2360000
2,4 uM-C,Casamino Acids,LOM,A,1100000
2,4 uM-C,Casamino Acids,LOM,B,2400000
2,4 uM-C,Casamino Acids,LOM,C,2400000
2,4 uM-C,Casamino Acids,LOM,D,3500000
2,4 uM-C,Casamino Acids,LOM,E,2900000
2,4 uM-C,Casamino Acids,NOM,A,6600000
2,4 uM-C,Casamino Acids,NOM,B,2300000
2,4 uM-C,Casamino Acids,NOM,C,1500000
2,4 uM-C,Casamino Acids,NOM,D,2800000
2,4 uM-C,Casamino Acids,NOM,E,10400000
2,4 uM-C,Casamino Acids,composite,A,7700000
2,4 uM-C,Casamino Acids,composite,B,4700000
2,4 uM-C,Casamino Acids,composite,C,3900000
2,4 uM-C,Casamino Acids,composite,D,6300000
2,4 uM-C,Casamino Acids,composite,E,13300000
2,4 uM-C,Casamino Acids,PRI,A,9900000
2,4 uM-C,Casamino Acids,PRI,B,15200000
2,4 uM-C,Casamino Acids,PRI,C,11500000
2,4 uM-C,Casamino Acids,PRI,D,10600000
2,4 uM-C,Casamino Acids,PRI,E,11100000
2,40 uM-C,Casamino Acids,ABM,A,1640000
2,40 uM-C,Casamino Acids,ABM,B,2110000
2,40 uM-C,Casamino Acids,ABM,D,2770000
2,40 uM-C,Casamino Acids,ABM,E,2360000
2,40 uM-C,Casamino Acids,LOM,A,5500000
2,40 uM-C,Casamino Acids,LOM,B,3000000
2,40 uM-C,Casamino Acids,LOM,C,2300000
2,40 uM-C,Casamino Acids,LOM,D,6500000
2,40 uM-C,Casamino Acids,LOM,E,6200000
2,40 uM-C,Casamino Acids,NOM,A,6600000
2,40 uM-C,Casamino Acids,NOM,B,2300000
2,40 uM-C,Casamino Acids,NOM,C,1500000
2,40 uM-C,Casamino Acids,NOM,D,2800000
2,40 uM-C,Casamino Acids,NOM,E,10400000
2,40 uM-C,Casamino Acids,composite,A,12100000
2,40 uM-C,Casamino Acids,composite,B,5300000
2,40 uM-C,Casamino Acids,composite,C,3800000
2,40 uM-C,Casamino Acids,composite,D,9300000
2,40 uM-C,Casamino Acids,composite,E,16600000
2,40 uM-C,Casamino Acids,PRI,A,18000000
2,40 uM-C,Casamino Acids,PRI,B,20000000
2,40 uM-C,Casamino Acids,PRI,C,21000000
2,40 uM-C,Casamino Acids,PRI,D,20000000
2,40 uM-C,Casamino Acids,PRI,E,12000000
2,400 uM-C,Casamino Acids,ABM,A,1640000
2,400 uM-C,Casamino Acids,ABM,B,2110000
2,400 uM-C,Casamino Acids,ABM,D,2770000
2,400 uM-C,Casamino Acids,ABM,E,2360000
2,400 uM-C,Casamino Acids,LOM,B,20000000
2,400 uM-C,Casamino Acids,LOM,C,12000000
2,400 uM-C,Casamino Acids,LOM,D,7000000
2,400 uM-C,Casamino Acids,LOM,E,10000000
2,400 uM-C,Casamino Acids,NOM,A,6600000
2,400 uM-C,Casamino Acids,NOM,B,2300000
2,400 uM-C,Casamino Acids,NOM,C,1500000
2,400 uM-C,Casamino Acids,NOM,D,2800000
2,400 uM-C,Casamino Acids,NOM,E,10400000
2,400 uM-C,Casamino Acids,composite,B,22300000
2,400 uM-C,Casamino Acids,composite,C,13500000
2,400 uM-C,Casamino Acids,composite,D,9800000
2,400 uM-C,Casamino Acids,composite,E,20400000
2,400 uM-C,Casamino Acids,PRI,A,25000000
2,400 uM-C,Casamino Acids,PRI,B,29000000
2,400 uM-C,Casamino Acids,PRI,C,35000000
2,400 uM-C,Casamino Acids,PRI,D,22000000
2,400 uM-C,Casamino Acids,PRI,E,24000000
4,4 uM-C,Casamino Acids,ABM,A,1120000
4,4 uM-C,Casamino Acids,ABM,B,1640000
4,4 uM-C,Casamino Acids,ABM,D,1820000
4,4 uM-C,Casamino Acids,ABM,E,1340000
4,4 uM-C,Casamino Acids,LOM,A,1440000
4,4 uM-C,Casamino Acids,LOM,B,1610000
4,4 uM-C,Casamino Acids,LOM,C,1790000
4,4 uM-C,Casamino Acids,LOM,D,1550000
4,4 uM-C,Casamino Acids,LOM,E,1510000
4,4 uM-C,Casamino Acids,NOM,A,6200000
4,4 uM-C,Casamino Acids,NOM,B,1300000
4,4 uM-C,Casamino Acids,NOM,C,800000
4,4 uM-C,Casamino Acids,NOM,D,500000
4,4 uM-C,Casamino Acids,NOM,E,12200000
4,4 uM-C,Casamino Acids,composite,A,7640000
4,4 uM-C,Casamino Acids,composite,B,2910000
4,4 uM-C,Casamino Acids,composite,C,2590000
4,4 uM-C,Casamino Acids,composite,D,2050000
4,4 uM-C,Casamino Acids,composite,E,13710000
4,4 uM-C,Casamino Acids,PRI,A,10600000
4,4 uM-C,Casamino Acids,PRI,B,13200000
4,4 uM-C,Casamino Acids,PRI,C,9600000
4,4 uM-C,Casamino Acids,PRI,D,10000000
